group,rho_range,n_series,n_test_rows,theorem_AUC,observed_AUC,gap
low,-0.620047-0.722564,1187,4311,0.7651498171988738,0.9229858951025114,0.15783607790363763
medium,0.722952-0.871787,1186,4621,0.8868625630464531,0.9833584605940956,0.09649589754764254
high,0.871834-0.990179,1187,4655,0.9526878297499644,0.985905487397605,0.03321765764764062
