role,provider_code,provider_name,specialty_code,specialty_name,period_date,pct_within_18wk
persistently compliant,RXG,SOUTH WEST YORKSHIRE PARTNERSHIP NHS FOUNDATION TRUST,X06,Other - Other Services,2025-05,0.9720549265237293
persistently compliant,RXG,SOUTH WEST YORKSHIRE PARTNERSHIP NHS FOUNDATION TRUST,X06,Other - Other Services,2025-06,0.9783665532328634
persistently compliant,RXG,SOUTH WEST YORKSHIRE PARTNERSHIP NHS FOUNDATION TRUST,X06,Other - Other Services,2025-07,0.9769357495881383
persistently compliant,RXG,SOUTH WEST YORKSHIRE PARTNERSHIP NHS FOUNDATION TRUST,X06,Other - Other Services,2025-08,0.9745036101083032
persistently compliant,RXG,SOUTH WEST YORKSHIRE PARTNERSHIP NHS FOUNDATION TRUST,X06,Other - Other Services,2025-09,0.9720384204909285
persistently compliant,RXG,SOUTH WEST YORKSHIRE PARTNERSHIP NHS FOUNDATION TRUST,X06,Other - Other Services,2025-10,0.9709205020920502
persistently compliant,RXG,SOUTH WEST YORKSHIRE PARTNERSHIP NHS FOUNDATION TRUST,X06,Other - Other Services,2025-11,0.9779029462738301
persistently compliant,RXG,SOUTH WEST YORKSHIRE PARTNERSHIP NHS FOUNDATION TRUST,X06,Other - Other Services,2025-12,0.9752047315741583
persistently compliant,RXG,SOUTH WEST YORKSHIRE PARTNERSHIP NHS FOUNDATION TRUST,X06,Other - Other Services,2026-01,0.9600397120873666
persistently compliant,RXG,SOUTH WEST YORKSHIRE PARTNERSHIP NHS FOUNDATION TRUST,X06,Other - Other Services,2026-02,0.9561424763750909
persistently compliant,RXG,SOUTH WEST YORKSHIRE PARTNERSHIP NHS FOUNDATION TRUST,X06,Other - Other Services,2026-03,0.964318813716404
crosses the threshold,NLX,SIRONA CARE & HEALTH,C_110,Trauma and Orthopaedic Service,2024-04,0.9945497630331753
crosses the threshold,NLX,SIRONA CARE & HEALTH,C_110,Trauma and Orthopaedic Service,2024-05,0.9914066033469019
crosses the threshold,NLX,SIRONA CARE & HEALTH,C_110,Trauma and Orthopaedic Service,2024-06,0.9938034188034188
crosses the threshold,NLX,SIRONA CARE & HEALTH,C_110,Trauma and Orthopaedic Service,2024-07,0.993359375
crosses the threshold,NLX,SIRONA CARE & HEALTH,C_110,Trauma and Orthopaedic Service,2024-08,0.9866790009250693
crosses the threshold,NLX,SIRONA CARE & HEALTH,C_110,Trauma and Orthopaedic Service,2024-09,0.9880442541042113
crosses the threshold,NLX,SIRONA CARE & HEALTH,C_110,Trauma and Orthopaedic Service,2024-10,0.9662769022199628
crosses the threshold,NLX,SIRONA CARE & HEALTH,C_110,Trauma and Orthopaedic Service,2024-11,0.9265426052889324
crosses the threshold,NLX,SIRONA CARE & HEALTH,C_110,Trauma and Orthopaedic Service,2024-12,0.8895358240336406
crosses the threshold,NLX,SIRONA CARE & HEALTH,C_110,Trauma and Orthopaedic Service,2025-01,0.8452417616261164
crosses the threshold,NLX,SIRONA CARE & HEALTH,C_110,Trauma and Orthopaedic Service,2025-02,0.7963155548952607
crosses the threshold,NLX,SIRONA CARE & HEALTH,C_110,Trauma and Orthopaedic Service,2025-03,0.7761812655429676
crosses the threshold,NLX,SIRONA CARE & HEALTH,C_110,Trauma and Orthopaedic Service,2025-04,0.7491228070175439
crosses the threshold,NLX,SIRONA CARE & HEALTH,C_110,Trauma and Orthopaedic Service,2025-05,0.7484899113224521
crosses the threshold,NLX,SIRONA CARE & HEALTH,C_110,Trauma and Orthopaedic Service,2025-06,0.7383493881801614
crosses the threshold,NLX,SIRONA CARE & HEALTH,C_110,Trauma and Orthopaedic Service,2025-07,0.7145063714763805
crosses the threshold,NLX,SIRONA CARE & HEALTH,C_110,Trauma and Orthopaedic Service,2025-08,0.6973120373977405
crosses the threshold,NLX,SIRONA CARE & HEALTH,C_110,Trauma and Orthopaedic Service,2025-09,0.6951593545806107
crosses the threshold,NLX,SIRONA CARE & HEALTH,C_110,Trauma and Orthopaedic Service,2025-10,0.705078125
crosses the threshold,NLX,SIRONA CARE & HEALTH,C_110,Trauma and Orthopaedic Service,2025-11,0.6923744754738822
crosses the threshold,NLX,SIRONA CARE & HEALTH,C_110,Trauma and Orthopaedic Service,2025-12,0.6938933663980161
crosses the threshold,NLX,SIRONA CARE & HEALTH,C_110,Trauma and Orthopaedic Service,2026-01,0.6930933852140078
crosses the threshold,NLX,SIRONA CARE & HEALTH,C_110,Trauma and Orthopaedic Service,2026-02,0.6926981008513425
crosses the threshold,NLX,SIRONA CARE & HEALTH,C_110,Trauma and Orthopaedic Service,2026-03,0.7245498614958449
hovers near the threshold,NMG,CONNECT HEALTH LIMITED,X06,Other - Other Services,2024-04,0.8714853929502125
hovers near the threshold,NMG,CONNECT HEALTH LIMITED,X06,Other - Other Services,2024-05,0.8757967696020793
hovers near the threshold,NMG,CONNECT HEALTH LIMITED,X06,Other - Other Services,2024-06,0.8679890994359591
hovers near the threshold,NMG,CONNECT HEALTH LIMITED,X06,Other - Other Services,2024-07,0.8701383027076164
hovers near the threshold,NMG,CONNECT HEALTH LIMITED,X06,Other - Other Services,2024-08,0.9142201196604981
hovers near the threshold,NMG,CONNECT HEALTH LIMITED,X06,Other - Other Services,2024-09,0.9059458637469586
hovers near the threshold,NMG,CONNECT HEALTH LIMITED,X06,Other - Other Services,2024-10,0.9289420823568798
hovers near the threshold,NMG,CONNECT HEALTH LIMITED,X06,Other - Other Services,2024-11,0.9362716481805798
hovers near the threshold,NMG,CONNECT HEALTH LIMITED,X06,Other - Other Services,2024-12,0.9278637232748131
hovers near the threshold,NMG,CONNECT HEALTH LIMITED,X06,Other - Other Services,2025-01,0.9160758596242468
