provider_code,specialty_code,n_obs,rho
NT225,X02,20,0.6162657149761
NT417,C_101,24,0.6164096284758857
R1K,X03,24,0.6166550277434945
Q1W6P,C_130,24,0.6169931332121255
RWD,X05,24,0.6170065146685508
NT441,C_100,24,0.6174428657846033
RR7,X02,24,0.617742253242773
R1D,C_410,24,0.6179323048484113
RW1,C_301,24,0.6182732235656553
NT422,C_150,24,0.6183797578552895
R0B,C_301,24,0.6183875842431942
NVC09,C_100,24,0.6191360888133287
NTE02,C_502,24,0.6198398232009121
RYJ,C_170,24,0.6202567578195698
RPA,C_430,24,0.6203372922620685
NVC21,C_130,18,0.6204708779021588
NT403,X06,24,0.6207607670433094
RYJ,C_140,24,0.6211460825717174
RM3,X02,24,0.6213585741465182
NT308,C_110,24,0.6215947777922547
NPG18,C_130,24,0.6216275904224238
NT237,C_110,24,0.6216619350161575
RX1,X06,24,0.6218952252304099
RA9,X02,24,0.6219102699086353
R0D,C_110,24,0.6221337208409977
J3J8Z,C_130,24,0.6222507330865708
RYR,C_301,24,0.6224372096408642
NT350,C_110,24,0.6226377426970624
NT332,C_160,23,0.6229631646292036
RLT,X05,24,0.6231119527183052
RFF,C_300,24,0.6232061438360302
RAX,C_130,24,0.6233674842679585
NVM,X05,24,0.6233713460171318
NVC04,C_320,24,0.6234386091381335
RPY,C_301,24,0.6234780639446538
NT345,C_120,24,0.6235840747759865
REF,C_120,24,0.6238414464538738
RLQ,X05,24,0.6238731620415505
R0A,C_170,22,0.6241909798299192
NT446,C_301,24,0.6242786767763665
RHQ,C_170,15,0.6251457494895015
RW1,C_300,24,0.6254984864390267
RWY,C_160,24,0.6255334275843083
NT449,C_100,24,0.6259340363524455
NVC23,C_160,21,0.6259527680845823
NPG02,C_130,24,0.6261371048349722
RDU,X05,24,0.6273274867468629
RX1,X04,24,0.6279083794689134
RN5,X02,24,0.628021777689144
RTR,C_150,24,0.6286578519629068
NVC1H,X06,24,0.6287015363267149
RW1,C_320,24,0.6289065390885039
RH8,C_410,24,0.6291591404060415
RHW,C_160,24,0.6291635946628868
RRF,X02,24,0.6292217848575421
ADP02,C_100,24,0.6299611291921742
RK5,X05,24,0.6301439692078048
RR8,C_170,24,0.6301802043922766
NYR,C_110,24,0.6306444187952835
RXN,C_320,24,0.6309162808062653
NVC44,C_160,22,0.6321833483184203
RPY,C_100,24,0.6325723236958615
NYR,C_502,24,0.6327179434726512
P0C3F,C_130,24,0.63282366062443
NT211,X02,17,0.632884088914927
RTX,C_340,24,0.6331488770017878
NT213,X02,24,0.6332501548525887
NPG15,C_130,24,0.6332674854614395
NT401,C_502,12,0.6333333333333334
RGT,C_410,24,0.6334722580890648
NN5,C_110,24,0.634466058485746
RNZ,C_340,24,0.6349284552908361
NTPH2,C_140,24,0.635089133579107
RHU,C_140,24,0.6352092549750084
RGT,X02,24,0.6352949854496504
RGP,X02,24,0.6354820578204126
RWF,C_110,24,0.6355111125648355
RXL,C_430,24,0.6357774255554675
RHW,C_330,24,0.6359933046373025
RXQ,C_140,24,0.6360774661696281
NT409,C_100,24,0.6363012969209924
RHU,C_340,24,0.63647878939662
RJ2,C_160,24,0.6367416178603947
NNE,C_100,24,0.6373030734285545
RHM,X06,24,0.6375390177676141
RKE,X04,15,0.6375731345676044
RTX,C_502,24,0.637593793108125
REM,C_110,24,0.6377888384536744
RBL,C_320,24,0.638335180438173
RBT,C_502,24,0.6384620463347273
RPY,X05,24,0.6387095031286835
NT410,C_100,24,0.6387269554055388
RXN,C_430,24,0.6387803108373404
RXF,X06,24,0.6390999161343421
REM,C_330,24,0.6394958999207864
NTPH3,C_502,24,0.6396816612208042
NT419,C_110,24,0.6396930459533208
NT3X3,C_150,24,0.6400306915180853
REM,X05,24,0.6401814244695626
RNQ,X06,24,0.6412484298377295
NNE,C_101,24,0.6412793364145724
RAL,X06,24,0.6413120159597331
NRF,C_120,12,0.6414499676657631
RA2,X02,24,0.6423184896648019
RGN,X06,24,0.6423502678543718
RAL,C_100,24,0.6431126450337609
RJR,C_430,24,0.6435079943137897
NVC15,X02,24,0.6438099205533775
RA9,C_301,24,0.6438947918574447
NT202,C_101,21,0.6439882836629027
RVJ,C_160,24,0.6443305896347601
RFR,C_301,24,0.6443865573246923
E3D4A,C_130,24,0.6444310541350402
NT314,C_100,24,0.6450301984347102
RLQ,C_140,24,0.6452522821343194
RMP,C_320,24,0.6454339157782064
NT312,C_160,14,0.6455614759251181
RAE,C_301,24,0.6456494632283434
RCF,C_300,24,0.6461698309247188
RVV,X06,24,0.6466335448605555
RJ6,C_101,24,0.6466735191395573
RA7,C_100,24,0.6467823326099518
NT308,C_100,24,0.6479296776402536
NT446,C_110,24,0.6480365337924731
R0D,X02,24,0.6482956508272348
NTPH2,C_101,24,0.648314881142118
NT350,C_100,24,0.6486898576748015
NNE,C_340,24,0.6489919900084512
RTE,C_340,24,0.6490923939446452
NVC01,C_100,24,0.6491553318406497
NT417,X06,21,0.6494499037635928
NT230,C_100,24,0.6496894173157094
T8R5I,C_130,24,0.6500984573584844
NVC25,C_130,18,0.6504803265799148
NT421,C_502,24,0.6506612887292575
RRV,X02,24,0.6508227800266906
RAX,C_160,24,0.6508348843047397
RWG,C_430,24,0.6509154728660514
RC9,C_160,24,0.6510109789158532
AAV,C_301,20,0.6512281377519575
RCX,C_430,24,0.6513322100984501
NT412,C_130,24,0.6513754129558893
REP,C_502,24,0.6516054476675522
RJN,C_502,24,0.6517072580843344
NT241,C_110,24,0.6518614774625349
R0D,C_410,24,0.6520214106775302
RAN,C_410,24,0.6521008686727532
NT324,C_120,24,0.6522422250516958
RN5,C_120,24,0.6522658265373676
RCF,X06,18,0.6522727272727272
NVC04,C_110,24,0.6527090682025638
NT435,C_502,21,0.6529628988863175
RAS,C_300,23,0.6532016954858436
NVC18,C_110,24,0.6533230043839505
NPG14,C_130,24,0.6533312098021724
RRF,C_320,24,0.6534965428093662
RPC,C_140,24,0.6535017371905361
NT435,X06,24,0.6537937169294961
NT406,C_150,24,0.6538453848446436
RHW,C_400,24,0.6538893602093696
NVC18,C_100,24,0.6540683196115649
H4I8B,C_130,24,0.6541571555767156
RHQ,C_130,15,0.654341713598836
RF4,C_320,23,0.6549048133276383
NTPH2,C_120,24,0.655081295339619
RHM,C_340,24,0.6557938061623795
RWA,X06,24,0.6564261581959134
RKB,C_320,24,0.6565004373844731
NT436,C_100,24,0.6568822647209732
RXP,X02,24,0.6571928383931096
RJN,C_160,24,0.6572537530474619
NVM,C_101,24,0.65730425856579
RTK,C_140,24,0.6573390924276153
NT214,X06,16,0.6575071507544116
NT242,C_100,24,0.6576700055039769
NN4,C_301,24,0.6579497287647875
RJ6,X05,24,0.6580591962256134
RC9,C_110,24,0.6584058672063459
RJ6,C_430,24,0.6587522500893399
RAL,C_300,24,0.6587882449927138
RD8,X05,24,0.6592059211440779
RWE,C_430,24,0.6594580430759093
NT350,C_150,24,0.6594964915094544
NVC19,C_110,24,0.6595191127634462
RTD,C_400,24,0.6597553669259364
RWF,C_130,24,0.6602389840665522
NN5,C_410,24,0.6604471009810524
NVC13,C_130,24,0.6605680868497679
R0D,C_140,24,0.6608754344748586
RPA,C_502,24,0.6609321029625951
RA9,X06,24,0.6611194439485797
NT441,C_301,24,0.6614148620525462
RH5,C_100,24,0.6614817979389221
RVV,C_400,24,0.6618565248300001
NT421,C_120,17,0.6619569631389414
RH5,C_430,24,0.6620580089301753
RN5,C_140,24,0.6623784977062912
RDE,C_110,24,0.6624265097709446
NT237,C_100,24,0.6624281624972018
NT333,C_100,24,0.6629522010166997
RYW,C_140,24,0.6629950752339322
RHQ,C_320,15,0.6631287643285428
NT205,C_101,24,0.6634434571458404
RXL,X02,24,0.663495086453075
O5Y9D,C_130,24,0.66486387490912
R1H,C_400,24,0.6650920512020693
NT226,C_100,15,0.6651336398655194
R1H,C_300,24,0.6652302077837046
RWD,X04,24,0.6654970445519662
RN3,C_110,24,0.6656219348114838
RX1,C_160,24,0.6657807733198613
NVC21,C_502,24,0.6659343744128908
RXC,X06,24,0.6660091923330527
NVC09,C_301,24,0.666490911555476
RMP,C_410,24,0.6667870408664611
NL8,X05,24,0.6668615553439381
NXP,C_101,24,0.6670695548451626
RP4,X05,24,0.6672386455897834
RVW,C_430,24,0.6673286813412154
RFF,C_140,24,0.6674126771981556
RTG,C_160,24,0.6675802382438362
RH8,C_430,24,0.6679038859731851
A4Q9X,C_130,24,0.6681694433069664
RXP,C_170,23,0.6682040123151842
RDU,C_400,24,0.6683601085979843
NVC23,C_100,24,0.6687203132291354
R0A,C_300,24,0.6690653565781971
REM,C_160,24,0.6691904908344675
RBL,C_300,24,0.6692562811747718
NLE01,C_101,24,0.669263109857494
NVC18,C_101,24,0.669723993821202
RCX,C_410,24,0.6702962268316418
P1B7M,C_130,24,0.670369348087129
RJN,X02,24,0.6703806949576122
RHM,X04,24,0.670851543882116
RJN,C_301,24,0.6708928790642158
RCB,C_340,24,0.6710505655104045
NT409,C_110,24,0.6710878465071412
RJ7,C_101,24,0.6718141555190814
NVC15,C_110,24,0.6723210310976896
NXM01,C_110,24,0.6724106851705725
G3Q3Z,C_100,24,0.6730899773877527
NT404,C_101,24,0.6733750137695799
RCD,X05,24,0.6739644759452046
NT226,C_110,24,0.6744032712167689
RR8,X06,24,0.6744323594336924
RR8,C_130,24,0.6748651222542731
RTG,C_430,24,0.6749214580329427
RJC,C_101,24,0.6754947072364966
RWP,C_320,24,0.676341325619474
RBT,C_340,24,0.6767039583312501
RJZ,C_330,24,0.6769203936948746
RAS,X04,24,0.6769698686817379
RKB,X04,24,0.6771003062088686
RLT,C_410,24,0.6771274340939167
NVC1H,C_130,24,0.677245550379575
RTE,C_430,24,0.6777166544048672
NT412,X06,24,0.6782802459969663
NPG10,C_130,24,0.6783871213458699
RR8,X04,24,0.6785879461878833
RWY,C_300,24,0.67884008557361
NT216,C_110,19,0.6790696344590146
G3Q3Z,C_301,24,0.6792085595201987
NT205,C_160,24,0.6792993468216247
RPY,C_160,24,0.6795490987289486
RH5,X04,24,0.6795860035527321
NL8,C_110,15,0.67981866069264
RBT,C_110,24,0.6798276769702747
RFR,C_502,24,0.6801896746094332
S1Z4X,C_130,24,0.6802970196522942
RJE,X05,24,0.680936723350506
RJE,C_330,24,0.681079218442999
E1U4T,C_130,24,0.6816226724596984
NVC01,C_160,19,0.682027530959098
NT490,X06,24,0.6821102557642565
S3H9L,C_502,19,0.6821728710249402
RBD,C_410,13,0.682182064108928
NT211,X06,12,0.6826923076923076
NVC02,C_100,24,0.6835959790846259
NT230,C_110,24,0.6837940626350464
RK9,C_100,24,0.6839527976228124
NT202,C_100,24,0.6849335771363366
RXQ,C_400,24,0.6857248763511052
RM3,C_150,24,0.685822687428978
RTH,C_430,24,0.6864514282651694
RAE,C_130,24,0.6866446300137653
RCX,C_101,24,0.6869548497802022
RNZ,C_320,24,0.6871602765808039
RK5,C_110,24,0.6872651075889175
RM1,C_130,24,0.6872787836503911
NVC19,X02,23,0.6876306432452216
RJL,C_430,24,0.6879894764426611
NVC21,C_110,24,0.6885111418974695
RRV,C_101,24,0.689032164830664
NN8,C_101,24,0.6890983207393896
NPG19,C_130,24,0.6891397123912812
RQ3,X04,24,0.6892630368202001
RXF,C_101,24,0.6892847901997002
NT343,C_100,24,0.689347867658315
NT437,C_101,24,0.6894119126310961
RFS,C_300,24,0.6899178655124097
RTK,C_502,24,0.6901614341257775
NT405,C_130,24,0.6904118357666061
RTK,X05,24,0.6907449040764609
RAL,X04,24,0.6908810124486895
NT406,C_130,24,0.691052512638944
NTPH2,C_100,24,0.6911382580856148
NN4,X02,24,0.6913177027901637
NT412,C_301,24,0.6915842652940344
RXF,C_320,24,0.6924847700069805
NT417,C_100,24,0.6925573834828493
RP4,X04,24,0.6925833590167868
RQM,C_400,24,0.6926261591868933
RWG,X05,24,0.6926725502105022
NT448,C_100,24,0.6929909379438077
RFS,C_301,24,0.6931716051641262
RBL,C_120,24,0.6933108114191954
NVC0Y,C_330,24,0.6934727240427695
B3M1X,C_100,24,0.6935197323416935
NT332,C_110,24,0.6936377624242465
RAE,X06,24,0.6937064967925926
NT437,C_110,24,0.694073877121223
RD8,C_410,24,0.6940796568139646
RYR,C_300,24,0.6947607187401423
NVC09,C_502,24,0.6948962857366183
NT210,C_100,23,0.6959166093282482
R0D,X04,24,0.6961257611290221
RWG,X04,24,0.696434000489348
NVC0I,C_301,24,0.6971602060743003
RWP,C_340,24,0.6971936347670704
RWF,C_301,24,0.6972693915703511
RH5,C_410,24,0.6974591831374988
RAS,C_101,24,0.697477117118025
RWJ,X04,24,0.6978058503472911
RGP,C_410,24,0.6978098498534508
RCX,C_100,24,0.6979181023606935
NVC09,C_110,24,0.6979805820812296
RH5,C_400,24,0.698048568331252
RVW,C_340,24,0.6992014632882764
RN3,X06,24,0.6996137625751467
RXC,X04,24,0.7001472279404048
RXP,C_430,24,0.7006791906362593
RX1,C_150,24,0.7006969353081812
NVC29,C_110,24,0.7009267177406503
RAX,C_100,24,0.7010087816179351
RYJ,C_430,24,0.7010749642317251
RN7,C_340,24,0.7011846846591661
RHM,X05,24,0.7011949415950809
NVC1H,C_100,24,0.7012478139941878
RDU,C_110,24,0.701340605203046
B3M1X,C_150,24,0.7013642656057687
NVC05,C_101,24,0.7013723627955858
RXF,C_410,24,0.7014378857321768
RXF,C_430,24,0.7015431593166722
H4I8B,X06,24,0.7018181085753699
NT423,C_100,24,0.7023682474661314
RXW,X06,24,0.7023871214839233
RHQ,C_101,15,0.7024314375203307
NL8,C_330,24,0.7026704990577496
RNS,C_170,24,0.7029321950124335
R1H,X04,24,0.7030841874742854
G3Z1Q,C_120,24,0.7031132451562392
RYR,C_410,24,0.7038322407552451
NT417,C_110,24,0.7043114589762138
RXK,C_320,24,0.7043233511081407
RTF,C_301,24,0.7043976510028389
R0D,C_300,24,0.7045528874232923
NVM,C_340,24,0.704558012886683
R0A,X03,24,0.7045733755028708
NT241,C_101,24,0.7045978520205639
RAJ,X04,24,0.7046315364031152
NVC12,C_120,16,0.7047597730596179
R1K,C_160,24,0.7049902667787575
RD1,C_120,24,0.7053108597967152
NT443,C_110,24,0.705400177724814
NT446,C_130,24,0.7057191962560568
RTF,C_340,24,0.7060380925415519
RJL,C_130,24,0.7068066867413646
RWE,C_301,24,0.7069020952202373
RD8,C_120,24,0.7069347706442488
M4C5R,C_130,24,0.7069822553152632
RN5,C_502,24,0.7070838799278819
RTG,C_110,24,0.7070843550915646
NT3X3,C_101,18,0.7072272432024594
NT348,C_101,24,0.7074239532458981
NTPH3,C_110,24,0.7075569981597813
RHQ,C_430,15,0.707618425719807
NT233,C_110,24,0.7077271607621312
NTPH5,C_100,24,0.7079150435588746
RX1,C_301,24,0.7081548119198031
AQK,X02,24,0.7082674742666998
NT434,C_100,24,0.7083627269964007
NT202,C_110,24,0.708849204238283
RNQ,X04,24,0.7088793664235185
NT308,X05,24,0.7092331833943385
RBD,C_320,24,0.7093654979717868
NT224,C_101,14,0.7094047336347415
NVC0R,C_110,24,0.7095946572615331
RAJ,C_502,24,0.7101316885770117
RM3,C_130,24,0.7102798634413728
NVC16,C_101,24,0.7103377297433985
RWY,C_430,24,0.7104234065862761
NVC27,C_100,24,0.7114927773564621
NFH,C_110,24,0.711957889866446
RM3,C_110,24,0.7119845316040303
NT3X3,C_100,24,0.7122073035009658
RH8,X06,24,0.7122625922447554
RXF,C_120,24,0.7124585449571031
NT315,C_110,24,0.7125830909403099
RCF,X05,24,0.7130739502393542
NT450,C_130,24,0.713286612772826
NT209,C_110,24,0.7133235504527569
RL1,C_110,24,0.7133689877478897
RM1,C_330,24,0.7136257829340381
NT429,C_110,24,0.7137966227126866
NLE01,C_502,24,0.7142022493096845
NVG01,C_100,12,0.7144376776299189
RHM,C_320,24,0.7150562862873575
RXL,C_301,24,0.7150568381401333
RCB,X06,24,0.7155320194012456
RXN,X06,24,0.7157256534314167
NCN,C_330,24,0.7159529772957709
RTE,C_320,24,0.7160948244215183
F9Z4V,C_130,24,0.7161492527281481
RGR,C_410,24,0.7162549378297114
NT313,X05,24,0.7166963124435951
RL4,X06,24,0.7170309556402263
RH8,C_110,24,0.7171443563474894
RC9,C_340,24,0.7172686253206298
RCX,C_400,24,0.7175268157433723
RCB,C_320,24,0.717575280360068
NT315,C_100,24,0.7176968491032351
RN7,C_300,24,0.71801233637148
RJZ,X04,24,0.7180431763991872
RDE,X02,24,0.7184673251756939
NCR,C_130,24,0.7187198043618134
RNQ,C_301,24,0.7188513677710735
RWP,C_160,24,0.7189018039481351
RWA,X05,24,0.7189091382287226
RMC,C_330,24,0.719205891155904
NTPAD,C_301,24,0.7199332305573256
RJR,X06,24,0.7199421841934855
RD1,X05,24,0.7202343390645708
R1H,C_101,24,0.7202457195408458
RWY,C_110,24,0.7203317965965178
RXK,C_410,24,0.720511889661521
RMC,C_170,24,0.7206742742552876
RVW,C_300,24,0.7209157180236396
RTX,C_430,24,0.7211551257417409
R1D,C_100,24,0.7214436302849554
NYR,C_160,24,0.7214746148334019
RNN,C_430,24,0.7216185863796892
R1F,C_100,24,0.721705608358204
RAL,C_120,24,0.7217336781731045
RTH,C_340,24,0.7221275885123819
NT205,C_100,24,0.7221638624944104
RTE,C_301,24,0.7221858569797652
Q8X0X,C_130,15,0.7223133213247664
RJL,C_320,24,0.7224989292310943
RHQ,C_120,15,0.7225350648508441
RFS,C_410,24,0.7225635414147048
RGT,C_100,24,0.7229518302138818
NNE,C_150,24,0.723320276156533
RX1,X02,24,0.7234836261675495
RVW,X05,24,0.7236328748843689
NVM,C_110,24,0.7238875895401242
NT345,X05,24,0.7242569856288313
NNE,C_320,24,0.7243339176031341
NT351,C_400,24,0.7247127082735332
RCB,C_120,24,0.7248229967802212
NT351,C_100,24,0.7248471934267938
NT313,C_100,24,0.7249744137164441
RJ7,C_130,24,0.7250668011585566
NVC13,C_502,24,0.725287612406662
RWG,C_502,24,0.7253049777503601
NVC09,C_410,14,0.7253521126760563
RTH,C_300,24,0.72539014159531
RVR,C_300,24,0.7255792343379609
O1P6X,C_130,24,0.7258780109357785
RNQ,X05,24,0.725970486188472
RQX,C_430,24,0.7262753331768265
RWP,C_140,24,0.7263626219691253
RBK,C_110,24,0.7266252498838793
RPC,C_320,24,0.7271173459201502
RKE,C_130,24,0.7277645744125496
RXQ,C_100,24,0.7278075600591124
NVC17,C_301,24,0.7280284207087296
NT490,C_130,24,0.728085182426883
NVG01,C_120,12,0.7281554877245501
RTH,C_301,24,0.7281596272577392
RXL,C_320,24,0.7283354291234526
RNZ,C_430,24,0.728638442356415
NN4,C_160,24,0.7286990402000137
RBN,C_430,24,0.7287093393018144
NVG01,C_110,12,0.7287577933623034
NT447,C_110,24,0.7288825092245316
RTG,C_502,24,0.7289438893901066
RAS,C_160,24,0.7289913243996685
RTK,C_340,24,0.7293364759262683
RP5,C_340,24,0.7293896904618422
RW1,X02,24,0.7295559179697388
NVC09,C_400,24,0.7295834359584821
RTR,C_140,24,0.7298837842424896
RL4,C_101,24,0.7301026793965707
NVC31,C_301,24,0.7302938847000044
RKB,X06,24,0.7303075102291993
RKB,C_400,24,0.7304683837934103
RHQ,C_160,15,0.7306121072923223
RAJ,C_430,24,0.7306281536626381
NXP,C_100,24,0.7307749664025927
NVC02,C_130,24,0.731423195875999
NVC19,C_301,24,0.7318235021844208
NT424,C_100,24,0.7318810143246322
RRV,C_140,24,0.731940064521064
RJR,C_340,24,0.7320122663591059
T4I8V,C_130,22,0.7322020173055367
RD8,C_130,24,0.7322525810141355
NTPH2,C_130,24,0.7322602904495255
RTE,C_300,24,0.7323926763768619
NN8,X04,15,0.7324840764331209
RJ6,C_400,24,0.7326799782597758
NAM01,C_110,24,0.7328274179305162
RTX,X04,24,0.7333811689303334
F9Z4V,C_502,24,0.733670940498215
NT239,C_101,23,0.7337822988178169
RBD,X05,24,0.7338562428900965
RRF,X04,24,0.7341398641000523
REF,C_130,24,0.7344071232427525
AAH,C_100,24,0.7347478545336172
RXP,C_301,24,0.735180488510685
RAJ,C_410,24,0.7351927132773318
NTPH2,C_502,24,0.7353468069741775
RBK,C_120,24,0.7357993955376093
NT449,C_301,24,0.7358355745738103
NT325,C_100,24,0.735854382190963
NT347,C_301,24,0.7360304051087313
RWG,X02,24,0.7362689198074343
RVJ,X06,24,0.7364121898712179
RNQ,C_330,24,0.7370028732743122
RM3,C_100,24,0.7370551829142689
RAL,C_301,24,0.7371490919803872
RXF,C_502,24,0.7371854141971632
RQX,C_100,24,0.7373316173544231
F9Z4V,C_301,24,0.7373986450924015
ADP02,C_110,24,0.7379005359813152
RJ6,C_502,24,0.7385359425380812
RXR,X02,24,0.7389415147114315
NTPAD,C_110,24,0.7389731664786318
R1H,C_410,24,0.7392864774478908
RAL,X03,18,0.7394883485309018
RK9,X06,24,0.7396075139080533
RWY,C_100,24,0.7396650118743225
RXN,C_110,24,0.7397113827341582
R0B,C_120,24,0.7401131759548009
RWA,C_430,24,0.7403166324002288
RTK,C_100,24,0.7403837626498923
RN5,X04,24,0.7405204559009767
RWE,C_100,24,0.7406361766208006
RVV,X02,24,0.7407726355754665
RMC,X06,24,0.740834894776921
RBV,C_160,24,0.7409858875606151
NT224,C_110,24,0.741326624063198
RHM,C_502,24,0.7414657906140123
NVC40,C_100,24,0.7416205824328993
G5X2Q,C_130,24,0.7416876901620042
G3Q3Z,X05,24,0.7424729619070484
RWY,C_140,24,0.7425786607896958
RRF,C_301,24,0.7427062614487473
RHW,C_100,24,0.7430335577724083
NT421,C_101,24,0.7430363817624804
NT403,C_301,24,0.7432309344858428
RH5,X02,24,0.7433824748676546
RH8,C_140,24,0.7434816582904316
RRE,C_400,24,0.7435116908547558
R1H,X06,24,0.7436044594272179
R1D,X04,24,0.7437096990103672
REF,X04,24,0.7437574211121789
NT430,C_301,24,0.7441986442583695
RP5,C_430,24,0.7442063345426059
NT305,C_110,24,0.7442837757051901
RRV,C_170,20,0.744348909592514
RNQ,C_320,24,0.7450315313080401
RTK,C_101,24,0.7450701516222334
RK5,C_430,24,0.7453477013932912
RJE,C_120,24,0.7455141129132038
RJN,C_100,24,0.7456943966450534
REM,C_410,24,0.7457954434598603
RL4,C_330,24,0.7459029687036248
RBN,X06,24,0.7459280315249598
RBK,C_340,24,0.7459992153339929
G3Q3Z,X02,18,0.7462661557363407
NVC15,C_100,24,0.7462821587087655
NT347,C_100,24,0.7463826021846592
NTE02,C_100,24,0.7464051898618984
RTH,C_150,24,0.7465924818987274
NVM,C_100,24,0.7467111100705375
NT418,C_101,24,0.7469104134137845
NVC05,C_110,24,0.7471698166634846
RXF,C_160,24,0.7471975384807719
RWJ,C_410,24,0.7472073797927007
RM1,C_101,24,0.7473901713013766
NT436,C_130,24,0.7474535768280883
I1H7K,C_130,18,0.7477895600568889
RBL,X04,24,0.748006229426575
RPC,C_410,24,0.7481109200086352
RXC,C_502,24,0.7482376150861064
R0B,C_140,24,0.7484769431893042
NT206,X06,24,0.748480677824303
RNZ,C_110,24,0.7487982994120514
RXF,C_140,24,0.7491273236881096
REM,X02,24,0.7491451195777079
NT30A,C_110,24,0.7491909542245012
F9Z4V,C_120,24,0.7492637511519155
NNE,C_300,24,0.749419076996203
RTP,C_330,24,0.7494551691730285
RL4,C_100,24,0.7495074610606441
NT214,C_110,23,0.7495756058712634
RF4,X06,23,0.7497544496788591
RNN,C_410,24,0.7500207814371006
NVC06,C_410,24,0.7502448555553713
RXL,C_100,24,0.7502722082356065
RCF,C_320,24,0.750327596495264
RNZ,C_300,24,0.7504471138655687
NTPH1,C_502,24,0.7504552931324261
RWE,C_300,24,0.7506236032108318
NT436,C_101,24,0.7507698545031981
NT204,X06,23,0.7507906458165858
NPG17,C_130,24,0.7509015380483576
RYR,C_330,24,0.75111567450529
NT209,C_100,15,0.7516483192280212
RJN,C_101,24,0.7517212156217256
DFQ,C_100,24,0.7519406826043361
RWP,X02,24,0.7519569881487355
RAN,C_160,23,0.7520726748825161
RXN,C_160,24,0.7525155012418622
RP6,C_130,24,0.7526853807473596
RR7,C_301,24,0.7528376852838071
RA9,C_101,24,0.7528797648033189
RJ1,C_150,18,0.7528879668007258
RX1,C_330,24,0.7529237354358801
NT450,C_101,24,0.7529732343169041
NVC06,C_101,24,0.7530835536044197
RC9,C_430,24,0.753165508258772
REF,C_502,24,0.7533142201555406
B9J4U,C_130,24,0.7539135814351725
RL4,C_140,24,0.7539504381622194
RVJ,C_100,24,0.754150573018985
NT241,C_100,24,0.7542887321259889
RN7,X06,24,0.7544220304706661
RR7,C_502,24,0.7545211104576327
RN7,X05,24,0.7545701714592006
RA2,C_400,24,0.7548563821815143
RNN,X04,24,0.7549063781559003
NT339,C_110,24,0.7549248690339501
RKB,C_150,24,0.7549894973282018
RJ2,X05,24,0.7550335280477943
NTP16,C_130,24,0.7551678728095962
R1H,C_430,24,0.7552007174214563
NVC23,C_502,24,0.7552373639237755
RJ2,C_430,24,0.7553324106662836
RW5,C_110,24,0.7558682367458885
NVC08,C_130,24,0.7560331906449712
RAS,C_130,24,0.7560869690177792
R0D,C_430,24,0.7560949633893512
NVC23,C_101,24,0.7561756036843363
NT301,C_101,21,0.7567397859536416
RL4,X05,24,0.7572100405205027
RKB,C_502,24,0.7573376490575531
NVC08,C_110,24,0.7574368187677682
RBN,X02,24,0.7574983003975709
REM,C_301,24,0.7581328420287731
RTD,C_110,24,0.758156688601574
RWG,C_130,24,0.7582366023897914
NVC40,C_502,24,0.7583696714757283
RTP,C_140,24,0.7583767092216315
RWH,C_430,24,0.7585289536479991
RHW,C_120,24,0.7585313924433181
RAL,X05,24,0.7586170915762611
RBK,C_502,24,0.7586523558530464
RK9,C_301,24,0.7586573733447404
NVC21,C_101,24,0.758974228732795
RX1,C_110,24,0.7589756735918467
NT350,C_101,24,0.7589938854292911
RKE,C_320,24,0.7590503555455561
RTF,C_100,24,0.759239513232559
R0D,C_502,24,0.7592407281589207
RWP,X04,24,0.7593246686855235
RDU,X04,24,0.7595446282682867
NT409,X06,24,0.7598741804605385
NT410,C_101,24,0.7599202225156353
RHW,X02,24,0.759949635003771
RVW,C_110,24,0.760212633639009
NT402,C_100,24,0.7603962444209273
RL4,C_301,24,0.7605080609099076
RVW,X06,24,0.7605082768559724
RLQ,X02,24,0.7605104261524686
RX1,C_502,24,0.7607252907531546
RAN,C_110,24,0.7608253626554249
NVC27,C_101,24,0.7608897317107507
RL4,C_110,24,0.7609409340378908
NT402,C_301,24,0.7610068699830828
RX1,C_170,24,0.7614328913222366
RWP,C_130,24,0.7614574180485069
RK9,C_300,24,0.7615006779978959
RAJ,C_130,24,0.761844514627357
NT204,C_101,19,0.762005723166802
RN3,X02,24,0.762158186715749
RM3,X05,24,0.7622896839979081
RM3,C_400,24,0.7623792798349263
NT320,C_502,24,0.7624832657181073
P5Y6K,C_130,24,0.762553473074925
RBN,C_110,24,0.7625745433232962
RK9,X04,24,0.7625833492978513
RWP,C_120,24,0.7631345974083138
NEY,C_101,19,0.7633432888366346
NT457,C_130,24,0.7634326089956068
NVC21,C_100,24,0.7636423810271702
RD1,X02,24,0.7637271683412253
NT457,C_110,24,0.7637332652666482
RTG,C_130,24,0.7638303104707964
NVC13,C_101,24,0.7638648335465554
RAJ,C_160,24,0.7639544028438349
RGR,C_300,24,0.7640818238665454
RTR,X06,24,0.7646240408131262
RAE,C_140,24,0.7646504529109912
NT418,C_301,24,0.7646774975726923
NT431,C_110,24,0.7649873282729248
RGT,C_502,24,0.7650793001018212
RPC,C_340,18,0.7651242074090547
NT449,C_150,23,0.7655743719816044
RGR,C_100,24,0.7656419535234006
RK5,C_301,24,0.7657515350803858
NT423,X06,24,0.765763078333474
RLQ,C_410,24,0.7659866451333982
