provider_code,specialty_code,n_obs,rho
NT408,C_101,24,0.25634259450975777
RNA,C_430,24,0.25655987902239596
NT406,C_120,12,0.2567567567567567
NT218,C_130,15,0.25723549680119107
NT408,C_130,24,0.2576606568468773
RWH,C_330,24,0.2588795571781135
NT339,C_150,23,0.25940855699462434
RNN,X06,23,0.2600649061776967
NVC19,X06,24,0.26357608418526074
NT408,X06,22,0.27083333333333326
NT429,C_100,14,0.2718549101414202
RTE,C_400,24,0.27194409286084226
RTE,X06,24,0.27374434660765695
NT427,X06,24,0.27663580345927496
RA7,C_300,18,0.27946793659866864
RJC,X06,24,0.28078282749576755
NT419,X06,12,0.28260869565217395
RWF,C_300,18,0.2831630913100571
NVC01,C_130,24,0.2849970331744761
RLT,C_140,24,0.28913202881516065
DFY01,C_330,22,0.28918995216060744
RPC,X02,23,0.29073265994726155
RWJ,C_300,22,0.29247020824601627
NVG01,C_130,12,0.29276792640278754
RWJ,C_170,23,0.29362695765822416
RJZ,X03,24,0.2938919807393737
RGT,X03,23,0.2949953845654178
NT204,C_120,21,0.29523331015328425
M2Y6D,C_100,14,0.29532723654268783
RWD,C_100,24,0.2954928266715019
RJ6,C_300,24,0.2965103866901423
RXK,C_430,24,0.2969533965745231
RFR,C_300,24,0.29795347656260235
REN,X02,24,0.29850751856937063
RJC,C_300,24,0.2996608058914378
NT411,C_101,22,0.3006660155180281
NVC04,C_100,24,0.3016302004757224
S4E3I,C_130,14,0.3032920572359954
RWF,C_170,24,0.30349707367778594
L9D3Z,C_130,24,0.3036281897778843
RLQ,C_100,24,0.3038072115649954
RET,C_130,24,0.3058806956310201
NVC20,C_340,24,0.30693085490784866
RJE,X04,24,0.3070952878773178
NTPAD,C_100,24,0.3086165277944017
RXQ,X04,24,0.30967438054766777
RXF,C_301,24,0.31115705503569097
NQT5K,C_430,20,0.3119490112398755
R0D,C_100,24,0.3135024999811409
RQX,C_410,24,0.31362437088297346
NVC05,C_160,19,0.3143893591293833
NVC23,C_400,13,0.3153984662237682
RBK,C_320,24,0.3161799075235005
RRK,C_170,24,0.3162894547643181
NT427,C_150,23,0.31645569620253156
NT410,X06,24,0.316957350321121
RTX,C_160,24,0.3177031398363652
RBD,C_300,23,0.31876655670339615
NVC23,C_130,16,0.3189538637606825
RJN,X06,18,0.3219036487313481
NT411,C_120,24,0.3224202685434892
NVC15,C_130,24,0.3238529893773088
RN5,C_110,24,0.32506394608478256
NT239,C_120,23,0.327081424408662
R1K,C_430,24,0.3273740397559088
RT1,X06,24,0.33013487562820537
RFF,C_430,24,0.33254669946661175
REF,C_410,24,0.33270259024983345
NT448,C_110,24,0.33545528164993677
RPY,C_330,24,0.3354574279727134
B1A5K,C_130,24,0.33585152299741167
RBN,C_150,24,0.33621859415905103
RNZ,X03,24,0.3413547347692314
NT403,C_120,24,0.34138260278499977
NT448,X06,19,0.3426938202200501
NVC05,C_301,19,0.3438432984916263
RRF,C_140,24,0.3443098991561911
NT344,X05,24,0.3459586822693392
NT337,C_301,24,0.3465985212287277
NT347,C_400,20,0.3476167695203426
NVC17,X06,24,0.3491531338256777
NVC0R,C_140,24,0.3496032226551561
RJE,C_430,24,0.3496769760294716
NT347,C_150,24,0.3509035867422432
RWA,X03,24,0.35151604689259214
RTH,C_170,19,0.352489786739419
RX1,C_101,24,0.35368291485780107
RHU,C_410,24,0.3545395880825538
RWY,C_340,24,0.35514672652820745
NT233,C_160,24,0.35570624804476114
NT343,X05,20,0.3566018798441338
RR8,C_150,24,0.35785035477277527
A4M8P,C_301,24,0.3608642905044612
NVC21,C_301,24,0.36184909255333
R0F4N,X05,24,0.3620551013138415
RAX,C_410,24,0.3627681557252748
NT455,C_301,24,0.3647335097477691
ACG30,C_130,24,0.36574726077928543
NT431,C_301,24,0.36746229472627484
NT450,C_110,24,0.368799221666342
RLT,X02,24,0.36888699108000483
NT216,X02,19,0.36998240597011933
NTPAD,C_130,24,0.37143721751628667
NT239,C_100,24,0.3715009941582538
RTK,X06,24,0.3732626326216572
RXK,C_340,24,0.37445696498469655
NT205,C_110,24,0.3745860930777472
NT324,C_100,24,0.3747527261131745
NVC15,X06,24,0.3754091017709066
RHW,X05,24,0.37580186437967894
NAM01,C_101,24,0.3759638583576969
RTX,C_300,24,0.37772629296151017
NVC0R,C_301,24,0.3784671737865282
REN,X06,24,0.38153216250087973
RXC,C_300,24,0.3817393696516188
NVC18,C_160,24,0.3825028304800167
RXR,C_300,21,0.38318405538884553
RNQ,C_160,24,0.38326908432569023
NVC02,C_101,24,0.3833308930301416
R1H,C_320,24,0.38333097872669974
NT233,C_100,24,0.38524257303317994
RXF,C_300,24,0.38784006235052554
NVC27,X02,12,0.38910730445729547
H2K1G,C_130,17,0.3892689781635752
NVC40,C_130,24,0.39047541429956373
NVC23,X06,14,0.39074105418879573
NT435,C_100,23,0.39271775131286674
RWW,C_430,24,0.3927431093462531
NFH,C_130,24,0.3931120630094073
RQM,C_100,24,0.394295846794692
REM,C_300,24,0.3948421142035093
RJC,C_430,24,0.394971309837689
NN5,C_100,22,0.3954885646342428
RAS,C_140,24,0.3956519327371276
NT431,C_130,21,0.39577039274924464
NT448,C_502,24,0.3960432299224774
RAJ,C_101,24,0.3976425813917815
RVV,C_301,24,0.39810181504994624
RWD,C_170,12,0.40159347165429377
RJ2,X06,24,0.4032013180959889
NEQ,C_301,24,0.40351427836375536
NVC31,X06,23,0.4054054054054055
R0B,C_101,24,0.4062942035125619
RAJ,C_300,24,0.4068354628427541
NT327,X05,24,0.4068492956154119
NT447,C_400,24,0.4076878392840837
RLT,C_340,24,0.4078285977515013
NT429,C_502,14,0.40924550584944847
NT455,C_100,24,0.4108618363661016
RM1,X06,24,0.4109905864472933
RAE,C_300,24,0.41416584199678097
NT333,X05,18,0.4154834248415118
RXN,X05,24,0.41581652895693777
RJ7,C_120,24,0.41692001997766365
NT204,C_150,20,0.4195965342266929
NT239,C_400,15,0.42044594195136714
RWG,X03,20,0.4223730291046508
NT350,X05,16,0.42307692307692335
NVC07,X02,24,0.42309282513112806
RAX,C_502,24,0.4243771831059966
G3Z1Q,X06,20,0.4251063316361746
RRE,X06,24,0.4251247847824571
DFQ,C_130,24,0.42785934462488573
RAJ,C_400,24,0.428537248151985
RX1,C_130,24,0.42907439305758655
NPR01,C_330,22,0.429593418017047
NEY,C_130,21,0.4299476397863428
NTP13,C_130,24,0.43008355137958254
NT3X3,C_502,24,0.43009217483428913
NTP11,C_301,24,0.4305160640759213
NT416,X06,24,0.4306896039904117
RNZ,X04,24,0.43168036505240387
NT416,C_301,24,0.4324330169823097
RTR,C_170,24,0.4329330537544532
NYR,C_130,24,0.43372563577187384
RX4,X06,24,0.4340701238335739
RBN,C_340,24,0.43502222910955857
NVC1H,C_301,24,0.43671336479843037
NMG,C_410,24,0.43695643532476447
NT364,C_100,24,0.437993020780103
NVC07,C_160,23,0.43807533765383383
RVR,C_430,24,0.4396860879171728
NVC28,X06,20,0.440533505538795
RBV,C_502,24,0.44248451842003594
NTPAD,C_101,24,0.44320228691519287
RXQ,C_430,24,0.44388550379672226
RLQ,C_170,24,0.444032122737073
NVC09,C_130,24,0.4440751511885346
RM1,C_320,24,0.44419956208998757
RJE,C_410,18,0.4442407577146349
R1F,C_300,20,0.44439140574509794
RQM,C_300,24,0.44452834619466153
NVC16,X06,22,0.44498459854723266
NT318,C_110,24,0.4452272024920154
NT433,X06,24,0.44629651133514703
NNE,X06,24,0.446364015295902
RTH,C_130,24,0.44725807722818545
RHU,X05,24,0.44739204622664436
RL1,C_430,24,0.4474221434396615
RPC,X04,20,0.44784973864111793
F0R0W,C_130,21,0.44788461261329077
NVC27,C_300,12,0.44854261357253034
NT403,C_150,24,0.4499037503319582
NT416,C_130,24,0.45230338514513424
NVC05,C_100,24,0.4526886339010444
NT427,C_101,24,0.4541471841195139
RYW,X03,24,0.4565962890415601
NVC0R,C_502,24,0.45762331556406066
NVC06,X06,24,0.45772558898150373
RTE,C_101,24,0.4581769964693321
RTD,X03,19,0.45953496100340085
NT209,C_150,24,0.4605990424253296
D5P5H,C_130,24,0.46127552976721925
NT437,C_150,20,0.46180130234622224
NT446,X06,22,0.4624143315624607
G3Z1Q,C_502,24,0.46283390296591725
K8I4X,C_120,20,0.4631418154595835
ADP02,C_502,24,0.4633134980459873
H4I8B,X02,22,0.4635701681615336
NVC28,C_160,16,0.4642857142857144
RQW,X02,24,0.4645572474804321
RPC,C_120,24,0.4645724846752418
RLQ,X04,24,0.46502205621844955
RA7,X03,24,0.465579337989213
RRF,C_170,24,0.4661071579832687
R1H,C_170,24,0.466350357573056
NT409,C_101,24,0.4669118932132051
R1K,X06,24,0.4672197871552137
