reference,rho,theorem_predicted_auc,observed_continuous_persistence_auc,observed_xgboost_auc
median_rho,0.8074681708565952,0.8868625630464531,0.9595477862185391,0.9791374501227748
mean_rho,0.741980150629634,0.8516144814512527,0.9595477862185391,0.9791374501227748
