month,n,positive_rate,xgboost_auc,persistence_auc,gap
2025-11,3524,0.8453461975028377,0.979934156834847,0.9138039672200818,0.06613018961476513
2025-12,3546,0.8525098702763677,0.9801116867559039,0.8971435691565429,0.08296811759936096
2026-01,3549,0.8500986193293886,0.981885543324669,0.9049203635538964,0.07696517977077266
2026-02,3553,0.8390092879256966,0.9755901595888177,0.8732194926844373,0.10237066690438035
pooled,14172,0.8467400508044031,0.9791374501227748,0.8969063075506446,0.08223114257213016
