metric,auc,ci_lower_95,ci_upper_95,n_bootstraps,seed
xgboost,0.9791374501227748,0.9769287479824336,0.9811398328056042,500,42
binary_persistence,0.8969063075506446,0.8889481863796743,0.904734412408961,500,42
continuous_persistence,0.9595477862185391,0.9538895787035254,0.9649323108731439,500,42
