bin,mean_predicted,observed_frequency,count
0,0.0481397807598114,0.06118546845124283,1046
1,0.14164184033870697,0.19547325102880658,486
2,0.24816974997520447,0.28169014084507044,284
3,0.34638163447380066,0.3940677966101695,236
4,0.4524865448474884,0.5028901734104047,173
5,0.5491165518760681,0.580110497237569,181
6,0.6522954106330872,0.6210045662100456,219
7,0.7484721541404724,0.7307692307692307,234
8,0.8532165288925171,0.8654292343387471,431
9,0.9930996298789978,0.992097040985113,10882
