provider_code,specialty_code,n_points,lag1_autocorrelation
NNE,X06,24,0.446364015295902
NNH,C_130,15,0.07808884377319118
NPG01,C_130,24,0.7904505443391563
NPG02,C_130,24,0.6261371048349722
NPG06,C_130,24,0.8487387866889383
NPG07,C_130,24,-0.0764138519110384
NPG08,C_130,24,0.5299682726264158
NPG10,C_130,24,0.6783871213458699
NPG11,C_130,24,0.8656450288436416
NPG13,C_130,24,0.7761391927685009
NPG14,C_130,24,0.6533312098021724
NPG15,C_130,24,0.6332674854614395
NPG16,C_130,24,0.8633281818135035
NPG17,C_130,24,0.7509015380483576
NPG18,C_130,24,0.6216275904224238
NPG19,C_130,24,0.6891397123912812
NPG20,C_130,24,0.8641671405081638
NPG21,C_130,24,0.9020383952322144
NPG22,C_130,24,0.8667375964115038
NPG23,C_130,24,0.8165927090121309
NPR01,C_330,22,0.429593418017047
NQH,C_330,24,0.0421627504498422
NQM01,C_110,24,0.13642181122500233
NQT5K,C_110,20,0.8826382533080963
NQT5K,C_430,20,0.3119490112398755
NR5,X02,24,0.16323681308544688
NRF,C_120,12,0.6414499676657631
NRL,C_320,13,0.8863002892553783
NRP,C_120,24,0.5541003769072279
NRP,C_301,24,0.5220321623043738
NT202,C_100,24,0.6849335771363366
NT202,C_101,21,0.6439882836629027
NT202,C_110,24,0.708849204238283
NT204,C_100,20,0.5829282654070811
NT204,C_101,19,0.762005723166802
NT204,C_110,19,0.9206378099599279
NT204,C_120,21,0.29523331015328425
NT204,C_150,20,0.4195965342266929
NT204,C_502,24,0.11625550499570589
NT204,X06,23,0.7507906458165858
NT205,C_100,24,0.7221638624944104
NT205,C_101,24,0.6634434571458404
NT205,C_110,24,0.3745860930777472
NT205,C_130,13,0.5659375988991516
NT205,C_160,24,0.6792993468216247
NT206,C_100,24,0.7931642549139605
NT206,C_110,24,0.8366914607224885
NT206,X06,24,0.748480677824303
NT209,C_100,15,0.7516483192280212
NT209,C_110,24,0.7133235504527569
NT209,C_150,24,0.4605990424253296
NT209,C_301,20,0.8537136263826279
NT210,C_100,23,0.6959166093282482
NT210,C_110,24,0.7701912996501143
NT210,X06,14,0.8818614842186732
NT211,C_100,12,0.48092102112311397
NT211,C_110,24,0.5370996444833067
NT211,X02,17,0.632884088914927
NT211,X06,12,0.6826923076923076
NT212,C_100,24,0.8469272593347602
NT212,C_101,15,-0.0769230769230769
NT212,C_110,24,0.8151498234888631
NT212,C_502,21,0.9172337564524586
NT212,X02,23,0.8675916457922282
NT213,C_100,24,0.9237958909606628
NT213,C_110,24,0.9080974879500258
NT213,X02,24,0.6332501548525887
NT214,C_110,23,0.7495756058712634
NT214,X06,16,0.6575071507544116
NT215,C_100,15,0.9582985562205226
NT215,C_110,24,0.8767119088743727
