predictor,ROC_AUC,PR_AUC,PR_AUC_CI_lower_95,PR_AUC_CI_upper_95,Brier,Brier_CI_lower_95,Brier_CI_upper_95,n,positive_rate_baseline_PR_AUC,bootstrap_seed,n_bootstraps,model_Brier_skill_vs_continuous_persistence
xgboost,0.9791374501227748,0.996203921776862,0.9957692927000023,0.9966225441153995,0.04013683274388313,0.03799391621723771,0.04230198357254267,14172,0.8467400508044031,42,500,0.8971187646105303
binary_persistence,0.8969063075506446,0.9646134521572273,0.9619533052977849,0.9675308183879204,0.055814281682190235,0.0522491532599492,0.059449971775331636,14172,0.8467400508044031,42,500,0.8971187646105303
continuous_persistence,0.9595477862185391,0.9873293511935657,0.9845761737175157,0.9903592775836662,0.39012782643929333,0.38600199984315714,0.3938771971071513,14172,0.8467400508044031,42,500,0.8971187646105303
